rsi,bb_up,bb_down,ma100,ma50,VA,VN
1577421961.71302271,0.98101931,0.98014769,0.98079046,0.98072217,2,1
1577422273.69071102,0.98104081,0.98006119,0.9807758,0.98069581,1,1
1577422573.69071102,0.98105886,0.97998814,0.98076143,0.98067049,1,2
1577422872.38347936,0.98106556,0.97991544,0.98074655,0.98064458,2,1
1577423175.76336575,0.98105239,0.97986161,0.98073276,0.98062127,1,2
1577423469.36616683,0.98101364,0.97979436,0.98071547,0.98059141,2,1
1577424374.34969091,0.98087605,0.97967495,0.98066915,0.98051548,0,1
1577424679.46282411,0.98083751,0.97964949,0.9806553,0.98049409,1,1
1577425283.46255398,0.9807197,0.9796393,0.98063,0.98045687,0,2
1577425577.54275441,0.98065595,0.97963305,0.98061594,0.98043581,2,2
1577425877.54275441,0.98059524,0.97962976,0.98060216,0.98041558,2,1
