rsi,bu,bl,bu2,bl2,MA1,MA2,open1,close1,Low1,High1,resultado
42.56211449,0.00130017,0.00014645,0.00158796,0,0.00068569,0.00080689,0.00037631,0.00037631,1.112,1.11242,1
39.30035818,0.00138079,0.00016123,0.00171502,0,0.00076721,0.00087319,0.00023851,0.00023851,1.11192,1.11224,0
42.79019069,0.00137993,0.00017306,0.00175132,0,0.00080259,0.00089745,0.000451,0.000451,1.11194,1.11222,1
38.32365215,0.00151509,0.00018324,0.001889,0,0.00089346,0.00097156,0.00023516,0.00023516,1.11168,1.11207,0
41.6057508,0.00158025,0.00019869,0.00193661,0,0.0009374,0.00100277,0.00044897,0.00044897,1.11174,1.11201,1
37.93695211,0.00170695,0.00020525,0.00208753,0,0.00103351,0.00108159,0.0002901,0.0002901,1.11168,1.11207,0
42.39432902,0.00173682,0.00020464,0.00212712,0,0.00107228,0.0011083,0.00055923,0.00055923,1.1117,1.11193,1
38.71900051,0.00185952,0.00021852,0.00228271,0,0.00116256,0.00118198,0.00039502,0.00039502,1.11152,1.11195,1
36.56931437,0.00201701,0.00023091,0.0024576,0,0.00127244,0.00127289,0.00035346,0.00035346,1.11143,1.11166,0
40.73794471,0.00209987,0.00024687,0.00253875,0,0.00133111,0.00131759,0.00062637,0.00062637,1.11121,1.1117,0
41.97006192,0.00214999,0.0002505,0.00258683,0,0.00137272,0.00134721,0.00074075,0.00074075,1.11164,1.11177,1
41.20130381,0.00219302,0.0002426,0.00258862,0,0.00139878,0.00136103,0.00073031,0.00073031,1.11157,1.11185,0
44.89694166,0.00217514,0.00021525,0.00252806,0,0.00139229,0.00134635,0.0009037,0.0009037,1.11161,1.1119,1
43.51099513,0.00214717,0.00022715,0.00255899,0,0.0014185,0.00136332,0.00086116,0.00086116,1.11158,1.1119,1
42.45252361,0.00214118,0.00023643,0.00260961,0,0.00144892,0.00138392,0.00084381,0.00084381,1.11161,1.11183,1
39.20046466,0.00213104,0.00025413,0.0026595,0,0.00149345,0.00141556,0.00071409,0.00071409,1.11141,1.1117,0
44.72091678,0.00203583,0.00028441,0.00263891,0,0.00150061,0.00141511,0.00096212,0.00096212,1.11147,1.11183,1
42.89718878,0.00175575,0.00047694,0.00266402,0,0.00152519,0.00143065,0.00089935,0.00089935,1.1115,1.1118,1
39.75455715,0.00157552,0.00063837,0.00272722,0,0.00156983,0.00146335,0.00077994,0.00077994,1.11146,1.11175,0
45.48877283,0.00146926,0.00072519,0.00275011,0,0.00158472,0.00147174,0.00104572,0.00104572,1.11145,1.11177,1
44.16829256,0.0014227,0.00077952,0.00276922,0,0.00160355,0.00148318,0.00100661,0.00100661,1.11152,1.1117,0
50.37387735,0.00142386,0.00078823,0.00276876,0,0.00160371,0.00148191,0.00129305,0.00129305,1.1116,1.11195,0
55.16548192,0.00143429,0.00077333,0.00274595,0,0.00159777,0.00147957,0.00153831,0.00153831,1.11191,1.11217,1
53.17496876,0.00144873,0.00072392,0.00264299,0,0.00156333,0.00144686,0.00141683,0.00141683,1.11194,1.11217,1
48.75444879,0.00142345,0.00071549,0.00257427,0,0.00154391,0.00142509,0.00119447,0.00119447,1.11178,1.11208,0
49.79542821,0.00135132,0.00062385,0.00228118,0,0.00143768,0.00131707,0.00114959,0.00114959,1.11191,1.11207,1
46.68526602,0.00111771,0.00039821,0.00170859,0,0.00119258,0.00106839,0.00077296,0.00077296,1.11175,1.11195,0
49.81948054,0.00094078,0.00026466,0.00129011,0,0.0010096,0.00088466,0.00072572,0.00072572,1.11178,1.11201,1
48.14226485,0.00085325,0.00018505,0.00103297,0,0.00089754,0.00076924,0.00055715,0.00055715,1.11171,1.11188,0
55.01658765,0.00091427,0.0002017,0.00107797,0,0.00091318,0.00078874,0.00085399,0.00085399,1.11182,1.11211,1
51.84462536,0.00091641,0.00018766,0.00104307,0,0.00089618,0.00077314,0.00072054,0.00072054,1.11198,1.11236,1
50.03250078,0.00092596,0.00019466,0.00105228,0,0.00089159,0.0007686,0.00065081,0.00065081,1.11179,1.11216,0
52.82307313,0.00095342,0.00021235,0.00106977,0,0.00089508,0.00077438,0.00076689,0.00076689,1.11187,1.1121,0
54.3215842,0.00100304,0.00028852,0.00114257,0,0.0009088,0.00079481,0.00084328,0.00084328,1.11209,1.1123,0
