rsi,bb_up,bb_down,bb_up2,bb_down2,ma100,ma50,sar,stoch,close,open,result
53.05317449,0.98074221,0.98030779,0.9808976,0.9802324,0.98068064,0.98060909,0.98036531,79.54545455,0.98061,0.98065,0
60.51995899,0.98076733,0.98031267,0.98091208,0.98022659,0.98068142,0.98061344,0.98038659,85.71428571,0.98072,0.98061,1
58.61312835,0.98078669,0.98031231,0.98092278,0.98022322,0.98068179,0.98061683,0.98040659,84.92063492,0.9807,0.98072,1
51.33470842,0.98079345,0.98031755,0.98090548,0.98023185,0.98068057,0.98061696,0.98043647,81.81818182,0.98062,0.98069,1
50.4536647,0.98079862,0.98032238,0.98089206,0.98023794,0.98067917,0.98061668,0.98046395,70.28985507,0.98061,0.98063,0
60.39477184,0.9808159,0.9803391,0.980899,0.98023366,0.98068038,0.98062152,0.98048923,68.90756303,0.98074,0.98062,0
75.09657033,0.98092589,0.98027811,0.98101498,0.98014969,0.98068829,0.9806395,0.9805125,82.67716535,0.98108,0.98073,0
75.39873865,0.98100935,0.98026465,0.98111053,0.9800868,0.98069624,0.98065717,0.98056,94.89051095,0.98109,0.98108,0
82.20148284,0.98126996,0.98020404,0.98141813,0.9798752,0.98072266,0.98071198,0.98073296,91.98312236,0.98137,0.98137,1
73.06866208,0.98133864,0.98022136,0.98150958,0.97982842,0.9807335,0.98073386,0.98085889,84.83754513,0.98127,0.98139,1
64.95045703,0.98138587,0.98022213,0.98156443,0.97982357,0.98074214,0.98075097,0.98096466,74.04844291,0.98117,0.98127,0
71.38778176,0.98152101,0.98024699,0.98173311,0.97976756,0.98076598,0.98079703,0.98112816,76.04166667,0.98135,0.98135,1
71.38778176,0.98156703,0.98028797,0.98180271,0.97975396,0.98077754,0.98081871,0.98118,82.29166667,0.98135,0.98136,1
57.24866175,0.9815784,0.9803446,0.9818284,0.97978026,0.98078551,0.98083288,0.98152,75.09157509,0.98118,0.98136,0
63.05889102,0.98161201,0.98037299,0.98187853,0.97977747,0.9807957,0.9808512,0.981513,67.41071429,0.9813,0.9812,0
71.14673081,0.98167763,0.98039037,0.98195054,0.9797808,0.98081004,0.98087743,0.98114,67.44186047,0.98152,0.98132,1
71.14673081,0.98172729,0.98042971,0.98200187,0.97980946,0.9808241,0.98090263,0.98114,76.97841727,0.98152,0.98155,1
58.5995019,0.98174123,0.98048577,0.98202363,0.97984971,0.98083452,0.98092017,0.9811592,73.57142857,0.98135,0.98146,1
52.47527597,0.98173114,0.98055986,0.98202328,0.97990605,0.98084274,0.9809331,0.98117763,48.61111111,0.98125,0.98135,1
39.83098209,0.98169701,0.98064799,0.98201273,0.97996194,0.98084813,0.98093671,0.981605,16.66666667,0.98098,0.98098,0
16.87382536,0.98173371,0.98041029,0.98200619,0.98006114,0.98083456,0.98088424,0.98129114,0,0.98034,0.98034,0
52.8007777,0.98172332,0.98039968,0.98199945,0.98008389,0.98083705,0.98088721,0.98119603,23.04832714,0.98096,0.98063,0
55.58716752,0.98169446,0.98039754,0.98199171,0.98011429,0.98084106,0.9808932,0.98111043,53.65853659,0.98104,0.98101,1
56.31253225,0.98166491,0.98039809,0.98197486,0.98016047,0.9808454,0.98089974,0.98034,91.89189189,0.98106,0.98108,1
55.79990235,0.98163302,0.98039998,0.98195315,0.98021152,0.98084945,0.98090564,0.9803552,94.66666667,0.98105,0.98108,1
55.79990235,0.98162221,0.98039779,0.98194268,0.98024266,0.98085342,0.9809113,0.9803701,93.85964912,0.98105,0.98107,1
53.93566499,0.98159368,0.98039832,0.98194156,0.98023978,0.98085672,0.98091556,0.98038469,92.10526316,0.98102,0.98105,0
59.95596478,0.98152927,0.98042473,0.98194364,0.98024103,0.98086233,0.98092436,0.980399,93.19148936,0.98114,0.98102,0
68.45820968,0.98149352,0.98044448,0.98194234,0.98024166,0.98087219,0.98094145,0.98042984,95.78544061,0.98136,0.98115,0
70.08234841,0.9815058,0.9804382,0.98194786,0.9802388,0.98088284,0.98095982,0.98048565,96.97986577,0.98141,0.98136,0
74.25771349,0.98156614,0.98040786,0.98198733,0.980218,0.98089605,0.98098296,0.9805644,93.7694704,0.98155,0.98141,1
73.4341642,0.98164223,0.98038777,0.98203003,0.98019997,0.9809088,0.98100481,0.98067696,88.05460751,0.98154,0.98155,1
61.21413491,0.9816817,0.9803883,0.98203348,0.98019852,0.98091813,0.98101952,0.98077826,75.80645161,0.98138,0.98154,1
52.5981465,0.98171759,0.98040441,0.98201291,0.98020442,0.98093075,0.98103648,0.98095149,40.68627451,0.98124,0.98124,1
51.2928264,0.981732,0.980414,0.98201545,0.98020455,0.98093648,0.98104367,0.98102534,32.84313725,0.98122,0.98124,1
45.00970719,0.98173788,0.98042212,0.98200329,0.98020471,0.98094011,0.98104667,0.98109181,26.96078431,0.98112,0.98121,1
37.73039172,0.98173788,0.98042212,0.98195692,0.98021508,0.9809409,0.98104405,0.98169,17.06161137,0.98098,0.98112,1
35.86594038,0.98170822,0.98049578,0.98190632,0.98022701,0.98094088,0.98103997,0.981675,7.30593607,0.98094,0.98099,1
32.27722923,0.98165277,0.98059723,0.98188181,0.98021886,0.98093928,0.98103291,0.9816452,2.96610169,0.98086,0.98093,0
35.88578277,0.98155584,0.98075016,0.98186628,0.98021105,0.9809385,0.9810277,0.98159689,4.21940928,0.9809,0.98084,1
30.41595481,0.98157101,0.98071699,0.9818708,0.9801932,0.98093537,0.98101799,0.98153554,3.79746835,0.98078,0.98087,1
27.65017013,0.98159307,0.98066193,0.98187924,0.98016676,0.9809309,0.98100591,0.98145998,5.10638298,0.98071,0.98078,1
14.96531912,0.98171834,0.98044366,0.98197681,0.98001252,0.98091504,0.98097156,0.98136399,2.55474453,0.98013,0.98071,0
40.78454605,0.98172783,0.98039117,0.98198534,0.97997999,0.9809092,0.98095777,0.98118843,27.14285714,0.98062,0.98013,1
38.63017618,0.9817397,0.9803283,0.98199863,0.97993737,0.98090189,0.98094139,0.98095668,40.57279236,0.98054,0.98062,0
45.1493013,0.9817386,0.9802974,0.9819993,0.97991803,0.98089789,0.98093192,0.98076201,59.72850679,0.9807,0.98052,1
42.01143459,0.98173148,0.98025052,0.98200427,0.97988773,0.98089199,0.98091891,0.97974,62.67942584,0.9806,0.98068,0
45.02052087,0.98168926,0.98022374,0.98199226,0.97991108,0.9808876,0.98090915,0.9797596,70.15306122,0.98067,0.9806,0
47.2212951,0.98163068,0.98021332,0.98196563,0.97995904,0.98088428,0.98090173,0.97977881,74.26273458,0.98072,0.98066,0
55.27723207,0.98153809,0.98024291,0.98192378,0.98003955,0.98088499,0.98090245,0.97981926,84.65753425,0.98092,0.98072,1
52.56914857,0.98143145,0.98028155,0.98192268,0.98003399,0.98088449,0.98090078,0.9798865,90.10989011,0.98086,0.98094,1
46.57902889,0.98134803,0.98029897,0.98192142,0.98001392,0.98088123,0.98089369,0.97997478,88.64864865,0.98072,0.98086,0
48.00724244,0.98128799,0.98031001,0.98191667,0.97999799,0.98087864,0.98088806,0.980056,82.93333333,0.98075,0.98074,1
42.098354,0.98121849,0.98031651,0.98191838,0.97996695,0.98087332,0.98087715,0.98013072,70.72368421,0.98061,0.98076,0
42.66542846,0.98114147,0.98033353,0.98191724,0.97993942,0.9808683,0.98086707,0.98019946,57.32758621,0.98062,0.98061,0
46.22066406,0.98107972,0.98035128,0.98191338,0.97992062,0.98086457,0.98085973,0.9802627,31.61290323,0.98068,0.98063,1
43.20658734,0.98104275,0.98035225,0.98190047,0.97989886,0.98085973,0.98085033,0.98032089,29.05405405,0.98062,0.98072,1
40.25351267,0.98100982,0.98034718,0.98185598,0.97989002,0.98085379,0.98083894,0.98037442,23.44827586,0.98056,0.98064,0
43.16682882,0.98098759,0.98034341,0.98179233,0.97989967,0.98084877,0.98082957,0.98042366,19.04761905,0.9806,0.98054,1
38.42423909,0.98095593,0.98033607,0.98168878,0.97993389,0.98084206,0.98081704,0.98046897,13.33333333,0.98051,0.98061,0
40.07030599,0.98094096,0.98032604,0.98156771,0.97998763,0.98083588,0.98080579,0.98099,12.40875912,0.98053,0.98052,1
36.25423055,0.98093525,0.98030675,0.98147989,0.98001411,0.98082844,0.98079223,0.98098,7.87401575,0.98046,0.98052,1
34.66263889,0.98087461,0.98039739,0.98141843,0.98002157,0.98082055,0.98077802,0.9809576,11.30434783,0.98043,0.98047,1
25.75770518,0.98091583,0.98031617,0.9813725,0.9799995,0.98080865,0.98075614,0.98092294,6.92307692,0.98022,0.98046,1
17.7130226,0.98101931,0.98014769,0.98138874,0.97989459,0.98079046,0.98072217,0.98086671,6.07734807,0.97989,0.98021,0
29.69071113,0.98104081,0.98006119,0.98136958,0.97984242,0.9807758,0.98069581,0.98076304,11.96581197,0.98005,0.97989,0
29.69071113,0.98105886,0.97998814,0.98136569,0.97978431,0.98076143,0.98067049,0.98066973,19.01140684,0.98005,0.98004,1
28.38347936,0.98106556,0.97991544,0.98136396,0.97972404,0.98074655,0.98064458,0.98058576,24.50592885,0.98001,0.98006,0
31.76336582,0.98105239,0.97986161,0.98135904,0.97967496,0.98073276,0.98062127,0.98051018,25.51440329,0.98005,0.98002,1
25.36616672,0.98101364,0.97979436,0.9813676,0.97959706,0.98071547,0.98059141,0.98044217,18.14345992,0.97986,0.98003,0
30.34969091,0.98087605,0.97967495,0.98139723,0.97944344,0.98066915,0.98051548,0.98025214,15.63981043,0.97992,0.97992,0
35.46282406,0.98083751,0.97964949,0.98139816,0.97939917,0.9806553,0.98049409,0.98019909,21.11111111,0.97997,0.97992,0
39.4625539,0.9807197,0.9796393,0.98137854,0.97933746,0.98063,0.98045687,0.98014,51.85185185,0.98001,0.98001,1
33.54275453,0.98065595,0.97963305,0.98137305,0.97929761,0.98061594,0.98043581,0.98014,51.51515152,0.97992,0.98002,1
33.54275453,0.98059524,0.97962976,0.98135407,0.9792666,0.98060216,0.98041558,0.9801004,42.42424242,0.97992,0.97995,0
44.14686821,0.9805121,0.9796539,0.98131674,0.97925659,0.98059043,0.98039968,0.98006555,42.42424242,0.98001,0.97991,1
36.80581333,0.98044036,0.97966564,0.98123945,0.97926655,0.98057696,0.98038048,0.98003489,41.41414141,0.97991,0.98001,0
43.18315199,0.98034559,0.97970441,0.9811607,0.97928596,0.98056494,0.98036438,0.98003,44.79166667,0.97997,0.97991,1
42.38122084,0.98025156,0.97974844,0.98110336,0.97929264,0.98055296,0.98034852,0.98002,37.6344086,0.97996,0.97997,1
41.51392147,0.98013251,0.97981949,0.98103175,0.97931091,0.98054102,0.98033289,0.98,40,0.97995,0.97997,0
