timestamp,rsi,bb_up,bb_down,ma100,ma50,close,result
1577384100,57.22720707,0.98134509,0.98031491,0.98084673,0.98084134,0.98109,1
1577384400,50.22374829,0.98131514,0.98040586,0.98084798,0.98084404,0.98091,1
1577384700,49.46702718,0.98125364,0.98053036,0.98084881,0.98084584,0.98089,0
1577385000,49.89170432,0.98123178,0.98058922,0.98084983,0.98084796,0.9809,1
1577385300,42.29419969,0.98123466,0.98058134,0.98084706,0.98084255,0.98071,0
1577385600,46.17661966,0.98123485,0.98058015,0.98084593,0.98084049,0.98079,1
1577386200,46.17661966,0.98123049,0.98058051,0.98084373,0.98083661,0.98079,1
1577386500,41.68434674,0.98123208,0.98055792,0.98084089,0.98083125,0.9807,1
1577386800,36.76626036,0.98124503,0.98052497,0.98083592,0.98082179,0.98059,1
1577387100,33.90264543,0.98125339,0.98047161,0.98082966,0.98080996,0.98052,1
1577387400,31.53425414,0.98126972,0.98041328,0.98082234,0.98079623,0.98046,1
1577387700,29.96430584,0.98128803,0.98035597,0.98081438,0.98078148,0.98042,1
1577388000,29.96430584,0.98130373,0.98031227,0.98080657,0.9807673,0.98042,1
1577388300,25.88654353,0.9813235,0.9802445,0.98079693,0.98074976,0.98032,1
1577388600,25.49620116,0.98132979,0.98018021,0.98078729,0.98073252,0.98031,0
1577388900,42.92423484,0.98126474,0.98017326,0.9807814,0.98072301,0.98049,0
1577389500,50.20439603,0.98108953,0.98022847,0.9807739,0.98071278,0.98059,1
1577389800,50.20439603,0.98106031,0.98022669,0.98077026,0.98070796,0.98059,0
1577390100,61.41612607,0.98099388,0.98025912,0.98076985,0.98070961,0.98075,1
1577390400,58.6315028,0.98096382,0.98027018,0.98076887,0.98071002,0.98072,1
1577390700,56.70329606,0.98093368,0.98028132,0.9807675,0.98070963,0.9807,1
1577391000,47.85134082,0.98088981,0.98029519,0.98076419,0.98070533,0.9806,1
1577391300,47.85134082,0.98087944,0.98029456,0.98076094,0.9807012,0.9806,0
1577391600,56.45485189,0.98086491,0.98030009,0.98075973,0.98070115,0.9807,1
1577391900,47.61699298,0.98083917,0.98030683,0.98075657,0.98069718,0.9806,1
1577392200,47.61699298,0.98081091,0.98031609,0.98075347,0.98069337,0.9806,1
1577392500,35.09935308,0.98079612,0.98030288,0.98074686,0.98068265,0.98042,0
1577393400,43.77367866,0.98079155,0.98030245,0.98073287,0.98066275,0.98051,1
1577393700,35.97551332,0.98079277,0.98029923,0.98072628,0.98065244,0.9804,0
1577394000,52.43961934,0.98079496,0.98031404,0.98072358,0.98065,0.98059,1
1577394300,40.19829081,0.98078644,0.98032956,0.98071698,0.9806398,0.98039,1
1577394600,36.81446439,0.9807848,0.9803322,0.98070912,0.98062726,0.98032,0
1577395200,43.75736626,0.9807862,0.9803058,0.98069758,0.98061093,0.98041,0
1577395500,60.30039948,0.9807987,0.9803033,0.98069743,0.98061403,0.98069,1
1577395800,53.92727425,0.9807987,0.9803033,0.98069531,0.98061309,0.98059,1
1577396100,49.24322689,0.98076964,0.98030836,0.98069164,0.98060905,0.98051,1
1577396400,47.50256794,0.98074325,0.98031075,0.98068744,0.98060399,0.98048,0
1577396700,48.85839045,0.98071831,0.98031569,0.98068373,0.98059991,0.9805,0
1577397300,59.97795987,0.98074636,0.98030464,0.98068378,0.98060646,0.98069,1
1577397600,55.21147944,0.98073372,0.98031028,0.98068272,0.98060738,0.98063,0
1577397900,56.50761555,0.98074097,0.98030803,0.98068207,0.98060905,0.98065,1
1577398200,53.05317449,0.98074221,0.98030779,0.98068064,0.98060909,0.98061,0
1577398500,60.51995899,0.98076733,0.98031267,0.98068142,0.98061344,0.98072,1
1577398800,58.61312835,0.98078669,0.98031231,0.98068179,0.98061683,0.9807,1
1577399100,51.33470842,0.98079345,0.98031755,0.98068057,0.98061696,0.98062,1
1577399400,50.4536647,0.98079862,0.98032238,0.98067917,0.98061668,0.98061,0
1577399700,60.39477184,0.9808159,0.9803391,0.98068038,0.98062152,0.98074,0
1577400000,75.09657033,0.98092589,0.98027811,0.98068829,0.9806395,0.98108,0
1577400300,75.39873865,0.98100935,0.98026465,0.98069624,0.98065717,0.98109,0
1577400900,82.20148284,0.98126996,0.98020404,0.98072266,0.98071198,0.98137,1
1577401200,73.06866208,0.98133864,0.98022136,0.9807335,0.98073386,0.98127,1
1577401500,64.95045703,0.98138587,0.98022213,0.98074214,0.98075097,0.98117,0
1577402100,71.38778176,0.98152101,0.98024699,0.98076598,0.98079703,0.98135,1
1577402400,71.38778176,0.98156703,0.98028797,0.98077754,0.98081871,0.98135,1
1577402700,57.24866175,0.9815784,0.9803446,0.98078551,0.98083288,0.98118,0
1577403000,63.05889102,0.98161201,0.98037299,0.9807957,0.9808512,0.9813,0
1577403300,71.14673081,0.98167763,0.98039037,0.98081004,0.98087743,0.98152,1
1577403600,71.14673081,0.98172729,0.98042971,0.9808241,0.98090263,0.98152,1
1577403900,58.5995019,0.98174123,0.98048577,0.98083452,0.98092017,0.98135,1
1577404200,52.47527597,0.98173114,0.98055986,0.98084274,0.9809331,0.98125,1
1577404800,39.83098209,0.98169701,0.98064799,0.98084813,0.98093671,0.98098,0
1577408100,16.87382536,0.98173371,0.98041029,0.98083456,0.98088424,0.98034,0
1577408400,52.8007777,0.98172332,0.98039968,0.98083705,0.98088721,0.98096,0
1577408700,55.58716752,0.98169446,0.98039754,0.98084106,0.9808932,0.98104,1
1577409000,56.31253225,0.98166491,0.98039809,0.9808454,0.98089974,0.98106,1
1577409300,55.79990235,0.98163302,0.98039998,0.98084945,0.98090564,0.98105,1
1577409600,55.79990235,0.98162221,0.98039779,0.98085342,0.9809113,0.98105,1
1577409900,53.93566499,0.98159368,0.98039832,0.98085672,0.98091556,0.98102,0
1577410200,59.95596478,0.98152927,0.98042473,0.98086233,0.98092436,0.98114,0
1577410500,68.45820968,0.98149352,0.98044448,0.98087219,0.98094145,0.98136,0
1577410800,70.08234841,0.9815058,0.9804382,0.98088284,0.98095982,0.98141,0
1577411100,74.25771349,0.98156614,0.98040786,0.98089605,0.98098296,0.98155,1
1577411400,73.4341642,0.98164223,0.98038777,0.9809088,0.98100481,0.98154,1
1577411700,61.21413491,0.9816817,0.9803883,0.98091813,0.98101952,0.98138,1
1577412300,52.5981465,0.98171759,0.98040441,0.98093075,0.98103648,0.98124,1
1577412600,51.2928264,0.981732,0.980414,0.98093648,0.98104367,0.98122,1
1577412900,45.00970719,0.98173788,0.98042212,0.98094011,0.98104667,0.98112,1
1577413200,37.73039172,0.98173788,0.98042212,0.9809409,0.98104405,0.98098,1
1577413500,35.86594038,0.98170822,0.98049578,0.98094088,0.98103997,0.98094,1
1577413800,32.27722923,0.98165277,0.98059723,0.98093928,0.98103291,0.98086,0
1577414100,35.88578277,0.98155584,0.98075016,0.9809385,0.9810277,0.9809,1
1577414400,30.41595481,0.98157101,0.98071699,0.98093537,0.98101799,0.98078,1
1577414700,27.65017013,0.98159307,0.98066193,0.9809309,0.98100591,0.98071,1
1577415000,14.96531912,0.98171834,0.98044366,0.98091504,0.98097156,0.98013,0
1577415300,40.78454605,0.98172783,0.98039117,0.9809092,0.98095777,0.98062,1
1577415600,38.63017618,0.9817397,0.9803283,0.98090189,0.98094139,0.98054,0
1577415900,45.1493013,0.9817386,0.9802974,0.98089789,0.98093192,0.9807,1
1577416200,42.01143459,0.98173148,0.98025052,0.98089199,0.98091891,0.9806,0
1577416500,45.02052087,0.98168926,0.98022374,0.9808876,0.98090915,0.98067,0
1577416800,47.2212951,0.98163068,0.98021332,0.98088428,0.98090173,0.98072,0
1577417100,55.27723207,0.98153809,0.98024291,0.98088499,0.98090245,0.98092,1
1577417400,52.56914857,0.98143145,0.98028155,0.98088449,0.98090078,0.98086,1
1577417700,46.57902889,0.98134803,0.98029897,0.98088123,0.98089369,0.98072,0
1577418000,48.00724244,0.98128799,0.98031001,0.98087864,0.98088806,0.98075,1
1577418300,42.098354,0.98121849,0.98031651,0.98087332,0.98087715,0.98061,0
1577418600,42.66542846,0.98114147,0.98033353,0.9808683,0.98086707,0.98062,0
1577418900,46.22066406,0.98107972,0.98035128,0.98086457,0.98085973,0.98068,1
1577419200,43.20658734,0.98104275,0.98035225,0.98085973,0.98085033,0.98062,1
1577419500,40.25351267,0.98100982,0.98034718,0.98085379,0.98083894,0.98056,0
1577419800,43.16682882,0.98098759,0.98034341,0.98084877,0.98082957,0.9806,1
1577420100,38.42423909,0.98095593,0.98033607,0.98084206,0.98081704,0.98051,0
1577420400,40.07030599,0.98094096,0.98032604,0.98083588,0.98080579,0.98053,1
1577420700,36.25423055,0.98093525,0.98030675,0.98082844,0.98079223,0.98046,1
1577421000,34.66263889,0.98087461,0.98039739,0.98082055,0.98077802,0.98043,1
1577421300,25.75770518,0.98091583,0.98031617,0.98080865,0.98075614,0.98022,1
1577421600,17.7130226,0.98101931,0.98014769,0.98079046,0.98072217,0.97989,0
1577421900,29.69071113,0.98104081,0.98006119,0.9807758,0.98069581,0.98005,0
1577422200,29.69071113,0.98105886,0.97998814,0.98076143,0.98067049,0.98005,1
1577422500,28.38347936,0.98106556,0.97991544,0.98074655,0.98064458,0.98001,0
1577422800,31.76336582,0.98105239,0.97986161,0.98073276,0.98062127,0.98005,1
1577423100,25.36616672,0.98101364,0.97979436,0.98071547,0.98059141,0.97986,0
1577424000,30.34969091,0.98087605,0.97967495,0.98066915,0.98051548,0.97992,0
1577424300,35.46282406,0.98083751,0.97964949,0.9806553,0.98049409,0.97997,0
1577424900,39.4625539,0.9807197,0.9796393,0.98063,0.98045687,0.98001,1
1577425200,33.54275453,0.98065595,0.97963305,0.98061594,0.98043581,0.97992,1
1577425500,33.54275453,0.98059524,0.97962976,0.98060216,0.98041558,0.97992,0
1577425800,44.14686821,0.9805121,0.9796539,0.98059043,0.98039968,0.98001,1
1577426100,36.80581333,0.98044036,0.97966564,0.98057696,0.98038048,0.97991,0
1577426400,43.18315199,0.98034559,0.97970441,0.98056494,0.98036438,0.97997,1
1577426700,42.38122084,0.98025156,0.97974844,0.98055296,0.98034852,0.97996,1
1577427000,41.51392147,0.98013251,0.97981949,0.98054102,0.98033289,0.97995,0
1577427300,41.51392147,0.98007202,0.97985298,0.98052932,0.98031788,0.97995,0
1577427600,44.39430223,0.98007086,0.97986214,0.98051824,0.98030424,0.97997,0
1577428200,52.601011,0.98005968,0.97986732,0.98049871,0.98028239,0.98003,1
1577428500,38.71599404,0.98005489,0.97986211,0.98048705,0.98026779,0.97991,0
1577429100,39.13280362,0.98003437,0.97987463,0.98046462,0.98024066,0.97991,0
1577429700,45.78703023,0.98003397,0.97988003,0.98044425,0.98021793,0.97995,1
1577430300,41.60084196,0.98003285,0.97987615,0.98042369,0.98019502,0.97992,0
1577430600,43.76969685,0.98002519,0.97987581,0.98041391,0.98018463,0.97993,1
1577430900,42.01430679,0.98001654,0.97987546,0.98040413,0.98017425,0.97992,1
1577431500,42.97028008,0.98001691,0.97987409,0.98038495,0.98015432,0.97992,1
1577432400,41.50024871,0.9800036,0.9798724,0.98035749,0.98012707,0.97991,1
1577432700,41.50024871,0.98000137,0.97986963,0.98034863,0.98011856,0.97991,0
1577433000,60.90979967,0.98000544,0.97986856,0.98034133,0.98011312,0.97998,0
1577433300,66.30066557,0.98001537,0.97986463,0.98033477,0.98010908,0.98001,1
1577433600,48.67856404,0.9800126,0.9798644,0.98032695,0.98010245,0.97994,1
1577433900,46.68437712,0.98000098,0.97986802,0.98031909,0.98009569,0.97993,1
1577434200,44.62761392,0.97997916,0.97987884,0.98031119,0.9800888,0.97992,0
1577434500,62.97743267,0.97999758,0.97987142,0.98030542,0.9800861,0.98002,0
1577434800,77.33934848,0.98007553,0.97982047,0.98030313,0.98009017,0.98019,1
1577435100,73.56244739,0.98011961,0.97980239,0.9803005,0.9800933,0.98017,1
1577435400,61.69847566,0.98013834,0.97979966,0.98029653,0.98009357,0.9801,0
1577435700,68.27655047,0.9801728,0.9797882,0.98029422,0.98009696,0.98018,1
1577436300,68.34599842,0.98022734,0.97978566,0.98028975,0.98010336,0.98019,1
1577436600,52.10236193,0.98023413,0.97979387,0.98028559,0.98010244,0.98008,0
1577436900,70.65059793,0.98029225,0.97977775,0.98028667,0.98011176,0.98034,0
1577437200,73.73164673,0.98035779,0.97976221,0.98028911,0.98012345,0.98041,1
1577437500,55.83368125,0.9803733,0.9797767,0.98028774,0.98012724,0.98022,1
1577437800,44.35769269,0.98037066,0.97979234,0.98028284,0.98012382,0.98004,1
1577438100,28.33937728,0.98041727,0.97971373,0.98026932,0.98010328,0.9796,0
1577438400,36.01903521,0.98043212,0.97968088,0.98025864,0.98008864,0.97973,1
1577438700,23.9998919,0.98055133,0.97948967,0.98023748,0.9800534,0.97919,0
1577439000,36.75109613,0.98057634,0.97941466,0.98022248,0.98003091,0.97948,0
1577439300,40.97687167,0.98058151,0.97936749,0.98020995,0.98001362,0.97959,0
1577439600,42.92678628,0.98058376,0.97933524,0.98019867,0.97999897,0.97964,1
1577439900,41.38853958,0.98058723,0.97929777,0.98018661,0.97998293,0.97959,1
1577440200,36.39942398,0.98060137,0.97923363,0.98017143,0.97996085,0.97942,1
1577440500,34.21586666,0.9806099,0.9791571,0.98015497,0.97993651,0.97934,1
1577440800,23.2379752,0.98066888,0.97895712,0.98012774,0.97989115,0.97878,1
1577441100,18.01327779,0.98077601,0.97866599,0.98009214,0.97982993,0.97833,0
1577441400,27.03593708,0.98079872,0.97848828,0.9800616,0.97977974,0.97855,1
1577441700,24.93139008,0.98080131,0.97830769,0.9800287,0.97972563,0.9784,1
1577442000,21.11069269,0.98081595,0.97808505,0.97999031,0.97966149,0.97809,1
1577442300,17.50801361,0.98084127,0.97781273,0.97994535,0.97958535,0.97772,0
1577442600,18.3553032,0.98083128,0.97758872,0.97990168,0.97951299,0.97774,1
1577442900,18.04257828,0.98073802,0.97741898,0.97985828,0.97944228,0.97771,0
1577443200,18.04257828,0.980587,0.9773,0.97981574,0.97937435,0.97771,0
1577443500,31.36271222,0.98041602,0.97724698,0.97977939,0.97931967,0.97798,0
1577443800,40.95844397,0.98024392,0.97723708,0.97974851,0.97927654,0.97822,1
1577444100,39.91221889,0.98013755,0.97720145,0.97971745,0.97923354,0.97818,0
1577444400,40.34081823,0.97998982,0.97719518,0.97968721,0.97919262,0.97819,1
1577444700,28.95550312,0.97993864,0.97709736,0.97964786,0.97913408,0.9777,0
1577445000,29.41288842,0.9798196,0.9770394,0.97960948,0.97907824,0.97771,1
1577445300,25.37035587,0.97966445,0.97698455,0.97956751,0.97901595,0.97749,0
1577445600,26.40484261,0.97945762,0.97697838,0.97952677,0.9789569,0.97751,1
1577445900,26.9742357,0.97921667,0.97701233,0.97948703,0.97890055,0.97752,1
1577446200,21.53779441,0.97899617,0.97701383,0.97944234,0.97883504,0.97723,1
1577446500,15.7501423,0.97880842,0.97694358,0.97938922,0.97875366,0.97676,1
1577446800,11.63429946,0.97884068,0.97665432,0.97932627,0.97865391,0.97621,0
1577447100,24.88411579,0.9788356,0.9764804,0.97927109,0.97857101,0.97654,0
1577447400,26.01862588,0.9787528,0.9763652,0.97921761,0.97849254,0.97657,1
1577447700,21.3112278,0.97871873,0.97617727,0.97915746,0.97840185,0.97618,1
1577448000,20.87543504,0.97870566,0.97599534,0.97909771,0.97831315,0.97614,0
1577448300,31.85001413,0.97868743,0.97588357,0.97904468,0.97823891,0.97642,0
1577448600,34.05499184,0.97865008,0.97579492,0.9789939,0.97816993,0.97648,1
1577448900,31.56557957,0.97861197,0.97569703,0.97894154,0.97809856,0.97635,0
1577449200,42.17391007,0.97855152,0.97565048,0.97889597,0.97804137,0.97664,1
1577449800,40.70522597,0.97825865,0.97563935,0.97880515,0.977929,0.97658,0
1577450100,43.9963528,0.97805863,0.97568737,0.97876267,0.97787923,0.97666,1
1577450400,41.10856323,0.97781716,0.97576684,0.97871926,0.97782789,0.97657,1
1577450700,37.99150193,0.97767478,0.97578622,0.97867472,0.97777464,0.97647,0
1577451000,45.43835833,0.97750724,0.97584576,0.97863423,0.97772975,0.97663,1
1577451600,34.46162268,0.97720933,0.97588767,0.97853956,0.97761368,0.97623,1
1577451900,28.66352529,0.97701029,0.97593171,0.97848868,0.97754922,0.97597,0
1577452200,34.8310777,0.97685082,0.97597818,0.97844138,0.97749239,0.9761,1
1577452500,29.52874881,0.97683843,0.97590057,0.97839026,0.97742837,0.97586,0
1577452800,42.29386356,0.97683947,0.97589553,0.9783463,0.97737902,0.97617,1
1577453100,41.21026366,0.97682282,0.97587118,0.97830241,0.97733004,0.97613,0
1577453400,46.597587,0.97679756,0.97586644,0.97826217,0.97728847,0.97627,0
1577453700,52.22625098,0.97680647,0.97588253,0.97822589,0.97725481,0.97643,1
1577454000,48.62281292,0.97680648,0.97590152,0.97818834,0.97721854,0.97633,1
1577454300,45.44786416,0.97679903,0.97589097,0.97814976,0.97718017,0.97624,1
1577454600,42.66213299,0.97678542,0.97587258,0.97811036,0.97714016,0.97616,1
1577454900,36.65847127,0.97679224,0.97582776,0.97806798,0.97709427,0.97597,0
1577455200,37.69674838,0.97675398,0.97580102,0.97802683,0.97705097,0.97599,1
1577455800,30.15494019,0.97672426,0.97565974,0.97793657,0.976949,0.97572,0
1577456100,40.2025361,0.97665478,0.97565322,0.97789624,0.97690786,0.9759,1
